id,city,state,country,lat,lon,date,text,hashtags,following,followers,total_tweets,retweet_count,favorite_count,popularity_score,reach_score,sentiment,sentiment_score
2849797.0,,Jijel,Algeria,36.7179681,5.9832577,2022-03-24 01:27:15,just in: the anonymous collective has hacked the central bank of russia. more than 35.000 files will be released within 48 hours with secret agreements. oprussia,['Anonymous'],134,1267,16174,2272,0.0,2272.0,1133.0,NEGATIVE,0.9954050779342651
3304622.0,,Djelfa,Algeria,34.6703956,3.2503761,2022-03-28 02:57:22.000000,the oscars just turned into a whole euphoria episode oscars,['Oscars'],1171,511,4132,0,0.0,0.0,0.0,POSITIVE,0.5744941234588623
149641.0,Madina,Gegharkunik Province,Armenia,40.07637,45.25507,2022-03-02 15:42:31,"as the fighting in ukraine continues every day, we urge all parties to respect their obligations under international humanitarian ; human rights law ; ensure children are protected from harm. children and their caregivers must remain safe and be given safe passage.",['Ukraine'],911,1005,5770,2,1.0,3.0,94.0,POSITIVE,0.9975401163101196
490809.0,Madina,Gegharkunik Province,Armenia,40.07637,45.25507,2022-03-05 07:45:31,breaking: hrc49 votes overwhelmingly to establish a commission of inquiry on the conflict in ukraine. russia joined only by eritrea in opposing. now time for hrc to establish a special rapporteur on human rights situation in russia.,"['HRC49', 'Ukraine']",914,1010,5810,84,0.0,84.0,96.0,POSITIVE,0.7288892865180969
11866.0,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-03-01 02:44:20,"ukraine from the hypocrisy file 385. last year the icc began to investigate us war crimes in afghanistan (inc the use of hyperbaric weapons.) us froze the assets of the judges, investigation was dropped.",['ukraine'],1264,1962,69435,0,0.0,0.0,698.0,NEGATIVE,0.9972968697547913
11977.0,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-03-01 02:44:51,"@ap ukraine from the hypocrisy file 385. last year the icc began to investigate us war crimes in afghanistan (inc the use of hyperbaric weapons.) us froze the assets of the judges, investigation was dropped.",['ukraine'],1264,1962,69435,0,0.0,0.0,698.0,NEGATIVE,0.9981967806816101
12024.0,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-03-01 02:45:07,"@intlcrimcourt ukraine from the hypocrisy file 385. last year the icc began to investigate us war crimes in afghanistan (inc the use of hyperbaric weapons.) us froze the assets of the judges, investigation was dropped.",['ukraine'],1264,1962,69435,1,0.0,1.0,698.0,NEGATIVE,0.9986716508865356
12136.0,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-03-01 02:45:39,"@abc ukraine from the hypocrisy file 385. last year the icc began to investigate us war crimes in afghanistan (inc the use of hyperbaric weapons.) us froze the assets of the judges, investigation was dropped.",['ukraine'],1264,1962,69434,0,1.0,1.0,698.0,NEGATIVE,0.9982518553733826
71430.0,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-03-01 19:48:38,unfortunate that israel is only taking jewish ukraine refugees. horrific to think they will probs end up taking a palestinian's home. ukraine israel,"['ukraine', 'israel']",1267,1961,69519,0,0.0,0.0,694.0,NEGATIVE,0.9985069632530212
81149.0,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-03-01 22:04:44,"@teamviz please western hypocrites, don't sanction the russians that fund israel's illegal settlements. ukrainerussiawar",['UkraineRussiaWar'],1267,1960,69549,0,0.0,0.0,693.0,NEGATIVE,0.9921078085899353
88353.0,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-03-02 00:03:21,"@gpopescu90 since the west has complete censorship over all information, it's difficult to know the truth. but if u search there are dozens of reports of blacks stopped from boarding trains, crossing borders. don't just say what you like to believe, research. ukraine",['ukraine'],1267,1961,69577,0,0.0,0.0,694.0,NEGATIVE,0.9932451844215393
101095.0,Taree,New South Wales,Australia,-31.91099,152.45387,2022-03-02 02:51:41,putin is going to be pissed sotu,"['putin', 'SOTU']",529,52,1003,0,0.0,0.0,0.0,NEGATIVE,0.9978551268577576
105535.0,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-03-02 03:50:23,"since the west shut down all alternate media or views, people are only told what govts want them to believe. but why does nobody question the propaganda or the faked images? did they all believe in wmds too? ukrainerussiawar",['UkraineRussiaWar'],1267,1963,69660,0,0.0,0.0,696.0,NEGATIVE,0.9971615076065063
150618.0,West Coast,Tasmania,Australia,-42.45246,145.52264,2022-03-02 15:57:33,pray for peace ukraine,['Ukraine'],12171,11593,148619,123,0.0,123.0,0.0,POSITIVE,0.9756028652191162
174437.0,Gold Coast,Queensland,Australia,-28.00029,153.43088,2022-03-02 21:57:21,the asylum seeker resource centre again asks @scottmorrisonmp to publicly commit to how many extra refugee places on top of annual intake he will provide to people of ukraine. what are you waiting for? vague promises not decisive leadership. the people of ukraine need action now,[],438,169,49932,49,0.0,49.0,0.0,NEGATIVE,0.998840868473053
251792.0,West Coast,Tasmania,Australia,-42.45246,145.52264,2022-03-03 18:13:01,deep respect to president zelenskyy and the brave people of ukraine standwithukraine,"['Zelenskyy', 'Ukraine', 'StandWithUkraine️']",12176,11592,148653,199,0.0,199.0,0.0,POSITIVE,0.9864948987960815
263564.0,Normanton,Queensland,Australia,-17.67183,141.07721,2022-03-03 20:14:37,poignant moment on @facup playing imagine cut short for adverts . shame on you @itv ukraine,['ukraine'],727,264,2471,1,2.0,3.0,0.0,NEGATIVE,0.9027444124221802
275539.0,West Coast,Tasmania,Australia,-42.45246,145.52264,2022-03-03 22:43:00,"share: informationwarfare on march 4, near kherson, russia plans to stage action, paid actors delivered by buses: reported by the center for prevention of disinformation at the national national security and defense council of ukraine. they will try to sway your opinion.","['InformationWarfare', 'Kherson', 'Russia']",1653,269,12492,7,0.0,7.0,0.0,NEGATIVE,0.9865604639053345
295669.0,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-03-04 02:45:49,"the west has a block on all information alternative to the western propaganda, censoring information and pasting so much fake news ; images, fact-checkers can't keep up... sasha gillies-lekakis breaks the censorship by speaking some truths and is evicted by abc. ukraine auspol","['Ukraine', 'auspol']",1274,1971,69906,0,1.0,1.0,697.0,NEGATIVE,0.9997232556343079
306570.0,West Coast,Tasmania,Australia,-42.45246,145.52264,2022-03-04 05:13:15,why news is so utterly lacking in information. ukraine,['Ukraine'],1661,270,12513,0,0.0,0.0,0.0,NEGATIVE,0.9997031092643738
313435.0,West Coast,Tasmania,Australia,-42.45246,145.52264,2022-03-04 05:13:15,why news is so utterly lacking in information. ukraine,['Ukraine'],1663,270,12519,1,0.0,1.0,0.0,NEGATIVE,0.9997031092643738
306570.0,West Coast,Tasmania,Australia,-42.45246,145.52264,2022-03-04 06:45:44,why news is so utterly lacking in information. ukraine,['Ukraine'],1661,270,12513,0,0.0,0.0,0.0,NEGATIVE,0.9997031092643738
313435.0,West Coast,Tasmania,Australia,-42.45246,145.52264,2022-03-04 06:45:44,why news is so utterly lacking in information. ukraine,['Ukraine'],1663,270,12519,1,0.0,1.0,0.0,NEGATIVE,0.9997031092643738
437869.0,West Coast,Tasmania,Australia,-42.45246,145.52264,2022-03-04 22:48:54,"let's look at russia. good news. there are decent and honest people. bad news. everything else: they are in minority, and are either in prison or trying to flee but it is hard to get tickets at this point, most countries are closed, taking more than $10k is illegal and",['Russia'],1677,270,12557,4,0.0,4.0,0.0,POSITIVE,0.5152687430381775
