id,city,state,country,lat,lon,date,text,hashtags,following,followers,total_tweets,retweet_count,favorite_count,popularity_score,reach_score,sentiment,sentiment_score
1000,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-01 05:43:49,"how goes your war, ukraine? ukraine ukrainerussianwar ukrainerussiawar","['Ukraine', 'UkraineRussianWar', 'UkraineRussiaWar']",1529,2014,87413,0,0,0,485,NEGATIVE,0.9969804883003235
27823,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-03 22:31:29,"@kboz3 grandpop biden has described zelensky as fighting for the essential democratic principles that unite all free people, including the freedom to worship as one chooses. the same zelensky that banned the opposition parties, shuts down orthodox churches ; shut local media down.",['Zelensky'],1534,2015,87656,0,0,0,481,NEGATIVE,0.9846286773681641
27892,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-03 22:45:20,@truth_z_ people who teach their children to hate and murder are the most evil cultures on earth. israel ukraine,"['Israel', 'Ukraine️']",1533,2014,87656,0,1,1,481,NEGATIVE,0.9866849780082703
33179,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-04 18:03:17,@warmonitors why are you all sharing deliberate disinformation? ukrainerussianwar,['UkraineRussianWar'],1532,2014,87718,1,1,2,482,NEGATIVE,0.9951926469802856
35640,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-05 02:51:19,"@ajenglish its sad to see australia commit suicide, but they are such racist colonialists and suckholes to biden, anyway. russia","['Australia', 'Russia']",1533,2014,87768,0,1,1,481,NEGATIVE,0.9955583810806274
40518,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-05 18:36:53,ukrainian nationals tossed vibrant green antiseptic at a ukrainian orthodox priest.,['Ukrainian'],1537,2015,87857,0,1,1,478,POSITIVE,0.9881558418273926
46934,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-06 14:51:06,"@kboz3 thank god for social media otherwise i'd never know that kievs forces hit a business center, a market, the donbass arena, a sports palace, several shopping centers, a bus station, residential buildings, a cathedral, and the local prosecutors office. no western msm reported it","['Kiev', 'Donbass']",1544,2018,87984,5,6,11,474,NEGATIVE,0.9581445455551147
51335,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-07 04:04:24,@hallstrong1 @blanketcrap you've just made the case why russia didn't want nato bases in ukraine.,"['Russia', 'Ukraine']",1548,2026,88030,0,1,1,478,POSITIVE,0.9872320890426636
57157,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-07 18:50:36,"germany 25 qanon people wanted to overthrow the govt in a country of 80 mill people ; 'reinstate the monarchy of 1871'? it's good to be ambitious i guess but it sounds more like people were arrested for a scary facebook post. the west does love to write operas about nothing, eh?",['Germany'],1548,2028,88057,0,0,0,480,NEGATIVE,0.9944252967834473
58752,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-07 22:33:46,"@ramy_sawma the conflict really began in 2014 and will take time, but russia has several major gains, esp. donetsk and lugansk already won. the azov sea is also now an internal sea of the russian federation. lol ukrainerussiawar i've given up on western msm lies.",['UkraineRussiaWar'],1550,2045,88069,0,2,2,495,NEGATIVE,0.9312183856964111
59057,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-07 23:27:42,"@ramy_sawma just like that, another life was gone. life is very cheap to zelensky ukrainerussiawar","['Zelensky', 'UkraineRussiaWar']",1550,2045,88069,0,0,0,495,NEGATIVE,0.999783456325531
60204,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-08 03:48:19,russiaukrainewar angela merkel has admitted ukraine never intended to keep the 2014 minsk agreement. it was only to give them time to strengthen its military ready for war with russia. ukrainewar ukraine russianukrainianwar,"['RussiaUkraineWar', 'UkraineWar', 'Ukraine️', 'RussianUkrainianWar']",1568,2075,88096,3,3,6,507,NEGATIVE,0.9752671122550964
60214,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-08 03:51:25,@ramy_sawma russiaukrainewar angela merkel has admitted ukraine never intended to keep the 2014 minsk agreement. it was only to give them time to strengthen its military ready for war with russia.,['RussiaUkraineWar'],1568,2075,88096,1,7,8,507,NEGATIVE,0.9891213774681091
60333,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-08 04:23:27,@josepborrellf angela merkel has admitted ukraine never intended to keep the 2014 minsk agreement. it was only to give them time to strengthen its military ready for war with russia. liars - what russia has been saying all along. ukraine,['Ukraine️'],1568,2067,88101,0,3,3,499,NEGATIVE,0.9955024123191833
76316,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-09 03:22:22,"@kboz3 ukraine was a mess of corruption, illegal arms trade, human trafficking, child sex industry, biolabs, cyber terrorism for gents like israel, money laundering etc before the war. now, it's shown its true colours and devolved into a completely lawless, amoral hell.",['Ukraine'],1587,2086,88167,0,0,0,499,NEGATIVE,0.994712233543396
83279,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-09 23:26:27,merkel admitted that ukraine was being set up for war in 2014 and minsk was only a ruse. ukraine russiaukrainewar,"['Ukraine', 'RussiaUkraineWar']",1586,2095,88239,0,1,1,509,NEGATIVE,0.9883749485015869
96304,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-11 19:45:44,"@jasinskm and then there's the visegrad24 account, set up to disseminate fake news about russia. a polish news site has revealed that the outfit appears to be funded by the office of the polish prime minister.","['Russia', 'Polish']",1589,2102,88377,0,0,0,513,NEGATIVE,0.9977466464042664
108984,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-13 17:01:28,"this is what moscow has been saying for a long time ukraine was just pretending to engage in the peace process but was actually preparing for a nazi revival, while the western countries were assisting their duplicity.",['Ukraine'],1595,2103,88528,7,11,18,508,NEGATIVE,0.9949315190315247
116813,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-12-14 16:22:46,@thatdayin1992 western nations supporting kiev are also using its troops to provoke belarus into a response that they can later condemn. its a filthy war.,['Kiev'],1599,2109,88693,0,5,5,510,NEGATIVE,0.9658548831939697
