id,city,state,country,lat,lon,date,text,hashtags,following,followers,total_tweets,retweet_count,favorite_count,popularity_score,reach_score,sentiment,sentiment_score
107937,Kabul,Kabul,Afghanistan,34.52813,69.17233,2022-10-10 08:44:29,breaking: ukraine's president says russia used iranian drones in missile strikes on kyiv.,"['BREAKING', 'Ukraine', 'Russia', 'Kyiv']",1184,770,5315,0,1,1,0,POSITIVE,0.6460762619972229
10335,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-10-01 20:42:59,@thatdayin1992 when you join the dots (not difficult) the us business plan for ukraine looks so obvious you'd need to be in a coma not to get it. nordstreamsabotage ukrainewar nordstream russiaukrainewar,"['NordStreamSabotage', 'UkraineWar', 'NordStream', 'RussiaUkraineWar']",1465,2012,82163,0,0,0,547,NEGATIVE,0.994954526424408
10854,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-10-01 21:58:03,"you might be a racist numbskull russophobe who has no idea what's going on .. but you have to admit, this is a great anthem. ukrainerussianwar",['UkraineRussianWar'],1465,2012,82152,0,0,0,547,POSITIVE,0.9961430430412292
11911,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-10-02 01:09:54,@jasinskm @cheburekiman europeans will only sacrifice so much for ukraine before they realize their leaders dont care about them.,['Ukraine'],1466,2012,82211,0,0,0,546,NEGATIVE,0.9942341446876526
12008,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-10-02 01:32:00,@blackintheempir europeans will only sacrifice so much for ukraine before they realize their leaders dont care about them. and they've been lied to.,['Ukraine'],1466,2012,82211,0,3,3,546,NEGATIVE,0.9922244548797607
12033,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-10-02 01:37:49,@hammyhamster10 i don't see how he's doing anything more than millions of australians who cheer on the ukraine nazis.,['Ukraine'],1466,2012,82211,0,1,1,546,NEGATIVE,0.9830620288848877
12070,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-10-02 01:45:43,"@sadorangeman @blackintheempir while the us watched the horrors of the holocaust and did nothing b/c they were making $$$, 23 million russians died defeating the nazis. and still are. the world has a short memory. ukrainerussiawar",['UkraineRussiaWar'],1466,2012,82251,0,2,2,546,NEGATIVE,0.9607127904891968
12394,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-10-02 03:06:40,"@susan16park @robertarnol sorry but there's a new world, and peace, coming. 85% of the planet has decided the us/nato reign of war crimes will end. ukrainerussiawar",['UkraineRussiaWar'],1466,2012,82251,0,2,2,546,POSITIVE,0.9970517158508301
14181,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-10-02 09:52:10,"""blue/yellow punters must get very confused. they like to point out that zelensky is a jew. born in russia, he has never practised any religion but does want 'ukraine to become another israel."""" maybe some will start to see the diff b/t jews and nazis/zionists now? ukraine """,['Ukraine'],1467,2012,82269,0,0,0,545,NEGATIVE,0.9657766222953796
17643,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-10-02 17:18:28,"terrible news! (sarcasm alert.) moscow says nordstream can be repaired. sorry, grandpa joe. ukrainerussiawar ukrainewar nordstreamsabotage","['UkraineRussiaWar', 'UkraineWar', 'NordStreamSabotage']",1465,2012,82316,0,0,0,547,NEGATIVE,0.9991482496261597
20513,Potts Point,New South Wales,Australia,-33.86701,151.22586,2022-10-02 23:33:59,"us recruits has-been actor to spruik for the war. the empire in the original trilogy was actually inspired by the united states, with the rebellion being vietnam. the cheap whore serves emperor palpabiden now. ukraine markhamill ukraine","['Ukraine', 'MarkHamill', 'Ukraine️']",1468,2014,82391,0,0,0,546,NEGATIVE,0.9871298670768738
